0	148	81	104	109	229	206	174	174	205	222	135	269	143	127	106	118	225	121	0
148	0	72	117	125	186	83	83	83	223	145	33	233	15	219	106	202	181	54	148
81	73	0	102	73	176	126	98	98	183	154	72	221	64	152	95	137	171	70	81
104	117	103	0	173	277	199	187	187	282	249	86	322	124	227	12	215	272	63	104
109	125	73	173	0	120	134	91	91	110	120	138	160	111	100	166	83	116	142	109
229	186	176	277	120	0	131	104	104	86	54	214	47	172	178	268	167	5	228	229
206	83	126	199	134	131	0	43	43	195	79	115	173	75	233	188	216	126	137	206
174	83	98	187	91	104	43	0	0	156	63	113	150	69	190	177	173	100	131	174
174	83	98	187	91	104	43	0	0	156	63	113	150	69	190	177	173	100	131	174
205	223	183	282	110	86	195	156	156	0	132	242	93	207	112	276	106	87	250	205
222	145	154	249	120	54	79	63	63	132	0	176	94	132	203	239	188	51	194	222
135	33	72	86	138	214	115	113	113	242	176	0	261	44	224	74	208	209	23	135
269	233	221	322	160	47	173	150	150	93	94	261	0	218	201	314	192	52	275	269
143	15	64	124	111	172	75	69	69	207	132	44	218	0	206	113	190	167	63	143
127	219	152	227	100	178	233	190	190	112	203	224	201	206	0	226	17	176	220	127
106	106	95	12	166	268	188	177	177	276	239	74	314	113	226	0	213	263	51	106
118	202	137	215	83	167	216	173	173	106	188	208	192	190	17	213	0	165	205	118
225	181	171	272	116	5	126	100	100	87	51	209	52	167	176	263	165	0	223	225
121	54	70	63	142	228	137	131	131	250	194	23	275	63	220	51	205	223	0	121
0	148	81	104	109	229	206	174	174	205	222	135	269	143	127	106	118	225	121	0
