0	114	262	289	104	269	255	188	168	190	190	97	58	86	87	49	69	107	203	91	179	103	280	73	141	283	0
114	0	148	199	55	162	142	111	58	167	167	22	107	105	33	85	135	83	130	124	167	11	170	134	44	180	114
262	150	0	150	178	68	23	148	100	239	239	166	246	234	177	228	273	197	159	250	250	159	62	271	133	90	262
289	199	152	0	185	219	128	102	147	157	157	203	245	219	231	241	262	279	90	323	175	206	93	258	156	241	289
104	55	178	185	0	207	166	84	78	116	116	37	70	57	67	58	95	125	101	152	114	51	182	93	46	227	104
269	162	68	219	207	0	91	201	134	290	290	184	268	263	182	246	296	182	215	234	298	172	130	296	165	23	269
255	142	23	128	166	91	0	128	89	219	219	158	235	221	173	219	261	200	137	252	230	153	43	259	120	113	255
188	111	148	102	84	201	128	0	77	91	91	108	144	119	139	140	162	193	20	230	103	115	125	158	67	224	188
168	58	100	147	78	134	89	77	0	158	158	71	147	135	91	130	173	133	96	180	165	68	113	171	33	156	168
190	167	239	157	116	290	219	91	158	0	0	153	133	103	182	144	135	240	83	261	18	165	211	130	134	312	190
190	167	239	157	116	290	219	91	158	0	0	153	133	103	182	144	135	240	83	261	18	165	211	130	134	312	190
97	22	166	203	37	184	158	108	71	153	153	0	85	84	32	63	113	89	127	122	151	14	183	112	47	202	97
58	107	246	245	70	268	235	144	147	133	133	85	0	30	95	25	28	139	156	140	122	97	252	28	115	286	58
86	105	234	219	57	263	221	119	135	103	103	84	30	0	103	44	43	154	130	164	93	97	233	40	102	283	86
87	33	177	231	67	182	173	139	91	182	182	32	95	103	0	70	122	58	158	92	180	25	203	123	75	198	87
49	85	228	241	58	246	219	140	130	144	144	63	25	44	70	0	52	114	155	120	136	74	239	53	100	264	49
69	135	273	262	95	296	261	162	173	135	135	113	28	43	122	52	0	163	172	158	121	125	276	5	141	314	69
107	83	197	279	125	182	200	193	133	240	240	89	139	154	58	114	163	0	213	53	237	79	236	165	127	191	107
203	130	159	90	101	215	137	20	96	83	83	127	156	130	158	155	172	213	0	249	98	134	128	168	86	238	203
91	124	250	323	152	234	252	230	180	261	261	122	140	164	92	120	158	53	249	0	254	117	287	162	167	242	91
179	167	250	175	114	298	230	103	165	18	18	151	122	93	180	136	121	237	98	254	0	164	225	116	138	320	179
103	11	159	206	51	172	153	115	68	165	165	14	97	97	25	74	125	79	134	117	164	0	180	125	50	189	103
280	170	62	93	182	130	43	125	113	211	211	183	252	233	203	239	276	236	128	287	225	180	0	273	139	151	280
73	134	271	258	93	296	259	158	171	130	130	112	28	40	123	53	5	165	168	162	116	125	273	0	139	314	73
141	44	133	156	46	165	120	67	33	134	134	47	115	102	75	100	141	127	86	167	138	50	139	139	0	187	141
283	180	90	241	227	23	113	224	156	312	312	202	286	283	198	264	314	191	238	242	320	189	151	314	187	0	283
0	114	262	289	104	269	255	188	168	190	190	97	58	86	87	49	69	107	203	91	179	103	280	73	141	283	0
