0	191	178	167	229	120	191	105	112	189	189	210	214	166	122	212	233	139	149	200	165	49	308	162	152	50	126	0
191	0	66	220	239	209	53	160	83	119	119	236	92	247	70	139	233	278	42	38	286	144	257	177	240	149	112	191
178	68	0	256	287	234	19	186	100	174	174	281	156	278	82	198	284	293	60	38	307	130	318	219	268	129	146	178
167	220	258	0	66	49	256	75	156	120	120	45	166	35	174	123	74	103	198	252	90	172	161	46	38	185	110	167
229	239	287	66	0	115	284	127	194	122	122	22	163	89	210	110	12	163	228	275	142	227	98	73	99	240	144	229
120	209	234	49	115	0	238	49	134	134	134	95	176	48	152	145	122	74	180	237	77	132	206	68	36	144	99	120
191	53	19	256	284	238	0	189	104	167	167	279	145	280	85	189	279	299	58	19	312	143	309	217	271	143	146	191
105	160	186	75	127	49	189	0	86	97	97	112	135	92	104	115	130	120	131	188	126	100	203	57	82	112	50	105
112	83	100	156	194	134	104	86	0	100	100	185	109	177	18	126	192	197	47	104	209	71	243	122	168	80	50	112
189	119	174	120	122	134	167	97	100	0	0	123	45	154	110	26	115	208	117	156	205	161	146	75	152	173	63	189
189	119	174	120	122	134	167	97	100	0	0	123	45	154	110	26	115	208	117	156	205	161	146	75	152	173	63	189
210	236	281	45	22	95	279	112	185	123	123	0	167	67	201	116	32	141	222	271	121	212	120	62	77	224	135	210
214	92	156	166	163	176	145	135	109	45	45	167	0	199	111	53	155	251	107	130	249	178	165	120	197	188	91	214
166	247	278	35	89	48	280	92	177	154	154	67	199	0	196	157	100	73	222	277	56	181	187	79	14	192	135	166
122	70	82	174	210	152	85	104	18	110	110	201	111	196	0	136	208	215	30	87	227	77	255	139	186	83	66	122
212	139	198	123	110	145	189	115	126	26	26	116	53	157	136	0	102	218	142	177	211	187	121	80	158	199	88	212
233	233	284	74	12	122	279	130	192	115	115	32	155	100	208	102	0	173	224	270	153	229	88	74	109	241	142	233
139	278	293	103	163	74	299	120	197	208	208	141	251	73	215	218	173	0	244	302	31	173	261	138	65	181	170	139
149	42	60	198	228	180	58	131	47	117	117	222	107	222	30	142	224	244	0	57	255	102	262	160	213	107	88	149
200	38	38	252	275	237	19	188	104	156	156	271	130	277	87	177	270	302	57	0	313	152	295	211	269	153	142	200
165	286	307	90	142	77	312	126	209	205	205	121	249	56	227	211	153	31	255	313	0	193	240	131	53	203	175	165
49	144	130	172	227	132	143	100	71	161	161	212	178	181	77	187	229	173	102	152	193	0	295	155	168	13	99	49
308	257	318	161	98	206	309	203	243	146	146	120	165	187	255	121	88	261	262	295	240	295	0	147	196	307	198	308
162	177	219	46	73	68	217	57	122	75	75	62	120	79	139	80	74	138	160	211	131	155	147	0	78	168	73	162
152	240	268	38	99	36	271	82	168	152	152	77	197	14	186	158	109	65	213	269	53	168	196	78	0	180	128	152
50	149	129	185	240	144	143	112	80	173	173	224	188	192	83	199	241	181	107	153	203	13	307	168	180	0	111	50
126	112	146	110	144	99	146	50	50	63	63	135	91	135	66	88	142	170	88	142	175	99	198	73	128	111	0	126
0	191	178	167	229	120	191	105	112	189	189	210	214	166	122	212	233	139	149	200	165	49	308	162	152	50	126	0
