0	114	262	289	104	269	256	187	168	211	167	100	238	101	166	274	190	190	97	86	58	86	48	70	107	203	289	128	244	143	190	91	179	103	193	0
114	0	148	199	55	162	142	110	58	124	65	83	138	100	71	169	167	167	22	106	107	34	84	134	83	131	220	24	130	31	179	124	167	11	83	114
262	149	0	150	178	68	23	148	100	128	109	203	100	221	120	84	239	239	166	234	246	176	228	272	198	158	206	136	25	120	259	250	250	158	78	262
289	199	151	0	185	218	128	102	146	78	211	281	66	200	224	234	157	157	203	220	245	232	241	262	280	90	62	206	133	170	178	323	175	206	190	289
104	55	178	185	0	208	166	84	78	107	116	122	134	47	125	217	115	115	37	56	70	67	59	95	125	101	190	78	156	62	126	151	114	50	130	104
269	162	68	218	208	0	90	202	134	187	102	188	163	253	106	16	290	290	184	263	269	182	246	296	182	215	272	142	86	144	308	234	298	172	79	269
256	142	23	128	166	90	0	127	89	107	114	204	77	206	126	107	218	218	158	221	235	173	218	260	200	137	182	133	12	113	239	252	230	152	83	256
187	110	148	102	84	202	127	0	77	29	146	192	65	101	160	215	91	91	108	119	144	139	139	162	193	20	109	125	124	90	112	230	103	115	139	187
168	58	100	146	78	134	89	77	0	77	71	134	83	121	84	146	158	158	71	134	146	91	130	173	133	96	178	60	78	26	176	180	164	67	64	168
211	124	128	78	107	187	107	29	77	0	148	205	37	128	161	202	114	114	125	146	170	154	164	190	205	31	100	133	104	97	136	246	127	130	134	211
167	65	109	211	116	102	114	146	71	148	0	94	145	163	14	108	221	221	86	169	169	80	146	198	88	166	247	42	102	60	236	140	224	73	31	167
100	83	203	281	122	188	204	192	134	205	94	0	217	152	85	190	236	236	86	149	133	55	108	157	7	212	301	76	192	110	245	48	233	78	125	100
238	138	100	66	134	163	77	65	83	37	145	217	0	162	160	179	150	150	145	180	202	170	192	223	216	66	109	143	78	108	172	262	164	146	125	238
101	100	221	200	47	253	206	101	121	128	163	152	162	0	170	263	90	90	79	18	47	102	54	61	157	112	191	122	197	109	94	173	82	92	175	101
166	71	120	224	125	106	126	160	84	161	14	85	160	170	0	108	232	232	92	175	174	80	149	202	79	179	260	47	114	72	246	132	235	78	42	166
274	169	84	234	217	16	107	215	146	202	108	190	179	263	108	0	302	302	192	272	276	188	253	304	182	229	288	149	102	154	322	233	311	179	88	274
190	167	239	157	115	290	218	91	158	114	221	236	150	90	232	302	0	0	152	103	133	182	144	134	240	83	122	188	214	161	22	262	18	166	222	190
190	167	239	157	115	290	218	91	158	114	221	236	150	90	232	302	0	0	152	103	133	182	144	134	240	83	122	188	214	161	22	262	18	166	222	190
97	22	166	203	37	184	158	108	71	125	86	86	145	79	92	192	152	152	0	84	85	31	64	113	89	127	217	44	146	46	163	122	151	14	104	97
86	106	234	220	56	263	221	119	134	146	169	149	180	18	175	272	103	103	84	0	30	102	43	43	154	130	209	128	211	119	103	163	94	97	185	86
58	107	246	245	70	269	235	144	146	170	169	133	202	47	174	276	133	133	85	30	0	95	25	28	139	156	238	128	226	127	132	140	121	97	190	58
86	34	176	232	67	182	173	139	91	154	80	55	170	102	80	188	182	182	31	102	95	0	70	122	58	158	248	42	161	65	192	92	180	25	107	86
48	84	228	241	59	246	218	139	130	164	146	108	192	54	149	253	144	144	64	43	25	70	0	53	114	155	240	104	208	108	146	120	136	74	168	48
70	134	272	262	95	296	260	162	173	190	198	157	223	61	202	304	134	134	113	43	28	122	53	0	163	173	248	156	251	155	128	158	121	125	217	70
107	83	198	280	125	182	200	193	133	205	88	7	216	157	79	182	240	240	89	154	139	58	114	163	0	212	302	73	187	109	248	53	236	79	120	107
203	131	158	90	101	215	137	20	96	31	166	212	66	112	179	229	83	83	127	130	156	158	155	173	212	0	90	145	134	109	104	248	97	134	157	203
289	220	206	62	190	272	182	109	178	100	247	301	109	191	260	288	122	122	217	209	238	248	240	248	302	90	0	233	186	196	140	338	140	224	232	289
128	24	136	206	78	142	133	125	60	133	42	76	143	122	47	149	188	188	44	128	128	42	104	156	73	145	233	0	121	36	202	121	190	31	65	128
244	130	25	133	156	86	12	124	78	104	102	192	78	197	114	102	214	214	146	211	226	161	208	251	187	134	186	121	0	101	234	239	226	140	71	244
143	31	120	170	62	144	113	90	26	97	60	110	108	109	72	154	161	161	46	119	127	65	108	155	109	109	196	36	101	0	175	154	164	41	67	143
190	179	259	178	126	308	239	112	176	136	236	245	172	94	246	322	22	22	163	103	132	192	146	128	248	104	140	202	234	175	0	265	12	176	239	190
91	124	250	323	151	234	252	230	180	246	140	48	262	173	132	233	262	262	122	163	140	92	120	158	53	248	338	121	239	154	265	0	254	116	173	91
179	167	250	175	114	298	230	103	164	127	224	233	164	82	235	311	18	18	151	94	121	180	136	121	236	97	140	190	226	164	12	254	0	164	228	179
103	11	158	206	50	172	152	115	67	130	73	78	146	92	78	179	166	166	14	97	97	25	74	125	79	134	224	31	140	41	176	116	164	0	94	103
193	83	78	190	130	79	83	139	64	134	31	125	125	175	42	88	222	222	104	185	190	107	168	217	120	157	232	65	71	67	239	173	228	95	0	193
0	114	262	289	104	269	256	187	168	211	167	100	238	101	166	274	190	190	97	86	58	86	48	70	107	203	289	128	244	143	190	91	179	103	194	0
