0	214	40	154	142	104	184	89	230	98	99	102	119	234	172	0
214	0	210	82	72	169	45	163	75	156	135	114	250	147	42	214
40	211	0	164	139	70	174	60	213	124	80	96	81	205	169	40
154	82	165	0	50	152	86	138	142	77	111	78	226	195	54	154
142	72	139	50	0	110	49	99	106	98	70	43	188	148	30	142
104	169	70	152	110	0	127	18	153	147	41	75	80	135	134	104
184	45	174	86	49	127	0	122	57	147	95	83	207	113	33	184
89	163	60	138	99	18	122	0	155	129	29	61	89	145	126	89
230	75	213	142	106	153	57	155	0	203	134	132	228	76	89	230
98	156	124	77	98	147	147	129	203	0	114	86	201	238	119	98
99	135	80	111	70	41	95	29	134	114	0	34	118	137	97	99
102	114	96	78	43	75	83	61	132	86	34	0	149	154	73	102
119	250	81	226	188	80	207	89	228	201	118	149	0	192	214	119
234	147	205	195	148	135	113	145	76	238	137	154	192	0	145	234
172	42	169	54	30	134	33	126	89	119	97	73	214	145	0	172
0	214	40	154	142	104	184	89	230	98	99	102	119	234	172	0
