0	178	97	125	275	323	208	208	246	266	162	172	141	270	145	0
178	0	87	141	223	279	100	100	267	174	39	18	243	217	65	178
97	89	0	122	211	265	117	117	219	185	86	77	164	205	84	97
125	141	124	0	332	387	224	224	338	299	104	149	258	326	76	125
275	223	211	332	0	56	125	125	104	65	257	206	200	6	274	275
323	279	265	387	56	0	180	180	112	113	313	262	231	62	330	323
208	100	117	224	125	180	0	0	187	76	136	83	208	119	157	208
208	100	117	224	125	180	0	0	187	76	136	83	208	119	157	208
246	267	219	338	104	112	187	187	0	158	291	249	128	104	299	246
266	174	185	299	65	113	76	76	158	0	211	159	226	61	232	266
162	39	86	104	257	313	136	136	291	211	0	53	250	251	28	162
172	18	77	149	206	262	83	83	249	159	53	0	228	200	76	172
141	243	164	258	200	231	208	208	128	226	250	228	0	197	246	141
270	217	205	326	6	62	119	119	104	61	251	200	197	0	268	270
145	65	84	76	274	330	157	157	299	232	28	76	246	268	0	145
0	178	97	125	275	323	208	208	246	266	162	172	141	270	145	0
