0	191	178	167	229	120	191	105	112	90	239	109	189	189	210	214	166	122	212	233	149	130	275	200	165	49	308	0
191	0	66	220	239	209	53	160	83	198	140	97	119	119	236	92	247	70	139	233	42	242	86	38	286	144	257	191
178	68	0	256	287	234	19	186	100	215	204	120	174	174	281	156	278	82	198	284	60	263	134	38	307	130	318	178
167	220	258	0	66	49	256	75	156	77	153	137	120	120	45	166	35	174	123	74	198	64	273	252	90	172	161	167
229	239	287	66	0	115	284	127	194	142	133	176	122	122	22	163	89	210	110	12	228	127	273	275	142	227	98	229
120	209	234	49	115	0	238	49	134	29	177	116	134	134	95	176	48	152	145	122	180	33	275	237	77	132	206	120
191	53	19	256	284	238	0	189	104	221	192	122	167	167	279	145	280	85	189	279	58	268	115	19	312	143	309	191
105	160	186	75	127	49	189	0	86	43	146	67	97	97	112	135	92	104	115	130	131	82	228	188	126	100	203	105
112	83	100	156	194	134	104	86	0	118	145	19	100	100	185	109	177	18	126	192	47	164	164	104	209	71	243	112
90	198	215	77	142	29	221	43	118	0	187	102	140	140	122	179	76	136	156	148	165	48	270	222	92	106	230	90
239	140	204	153	133	177	192	146	145	187	0	138	51	51	142	48	188	152	32	122	152	207	146	178	242	211	119	239
109	97	120	137	176	116	122	67	19	102	138	0	89	89	166	106	158	37	115	174	64	147	174	121	191	73	229	109
189	119	174	120	122	134	167	97	100	140	51	89	0	0	123	45	154	110	26	115	117	166	155	156	205	161	146	189
189	119	174	120	122	134	167	97	100	140	51	89	0	0	123	45	154	110	26	115	117	166	155	156	205	161	146	189
210	236	281	45	22	95	279	112	185	122	142	166	123	123	0	167	67	201	116	32	222	106	277	271	121	212	120	210
214	92	156	166	163	176	145	135	109	179	48	106	45	45	167	0	199	111	53	155	107	209	111	130	249	178	165	214
166	247	278	35	89	48	280	92	177	76	188	158	154	154	67	199	0	196	157	100	222	42	305	277	56	181	187	166
122	70	82	174	210	152	85	104	18	136	152	37	110	110	201	111	196	0	136	208	30	182	153	87	227	77	255	122
212	139	198	123	110	145	189	115	126	156	32	115	26	26	116	53	157	136	0	102	142	176	163	177	211	187	121	212
233	233	284	74	12	122	279	130	192	148	122	174	115	115	32	155	100	208	102	0	224	137	264	270	153	229	88	233
149	42	60	198	228	180	58	131	47	165	152	64	117	117	222	107	222	30	142	224	0	211	128	57	255	102	262	149
130	242	263	64	127	33	268	82	164	48	207	147	166	166	106	209	42	182	176	137	211	0	308	268	45	153	224	130
275	86	134	273	273	275	115	228	164	270	146	174	155	155	277	111	305	153	163	264	128	308	0	96	351	229	260	275
200	38	38	252	275	237	19	188	104	222	178	121	156	156	271	130	277	87	177	270	57	268	96	0	313	152	295	200
165	286	307	90	142	77	312	126	209	92	242	191	205	205	121	249	56	227	211	153	255	45	351	313	0	193	240	165
49	144	130	172	227	132	143	100	71	106	211	73	161	161	212	178	181	77	187	229	102	153	229	152	193	0	295	49
308	257	318	161	98	206	309	203	243	230	119	229	146	146	120	165	187	255	121	88	262	224	260	295	240	295	0	308
0	191	178	167	229	120	191	105	112	90	239	109	189	189	210	214	166	122	212	233	149	130	275	200	165	49	308	0
