0	114	262	289	190	97	58	86	179	103	193	0
114	0	148	199	167	22	107	105	167	11	83	114
262	148	0	150	239	166	246	234	250	159	78	262
289	199	150	0	157	203	245	219	175	206	190	289
190	167	239	157	0	153	133	103	18	165	222	190
97	22	166	203	153	0	85	84	151	14	105	97
58	107	246	245	133	85	0	30	122	97	190	58
86	105	234	219	103	84	30	0	93	97	185	86
179	167	250	175	18	151	122	93	0	164	228	179
103	11	159	206	165	14	97	97	164	0	94	103
193	83	78	190	222	105	190	185	228	94	0	193
0	114	262	289	190	97	58	86	179	103	193	0
