0	114	262	289	190	97	86	58	179	103	193	0
114	0	148	199	167	22	105	107	167	11	83	114
262	148	0	150	239	166	234	246	250	159	78	262
289	199	150	0	157	203	219	245	175	206	190	289
190	167	239	157	0	153	103	133	18	165	222	190
97	22	166	203	153	0	84	85	151	14	105	97
86	105	234	219	103	84	0	30	93	97	185	86
58	107	246	245	133	85	30	0	122	97	190	58
179	167	250	175	18	151	93	122	0	164	228	179
103	11	159	206	165	14	97	97	164	0	94	103
193	83	78	190	222	105	185	190	228	94	0	193
0	114	262	289	190	97	86	58	179	103	193	0
