0	257	49	185	137	238	299	265	128	188	260	170	170	124	221	107	179	78	186	246	172	307	201	239	277	118	119	122	143	0
257	0	252	99	279	125	196	276	144	88	13	87	87	203	54	196	254	268	286	223	184	158	75	184	91	188	162	137	300	257
49	254	0	197	89	210	262	218	144	197	253	167	167	85	209	72	132	32	138	204	134	277	208	202	256	149	96	115	97	49
185	99	199	0	253	176	256	301	58	12	109	60	60	183	104	166	250	222	277	254	189	232	24	221	171	92	133	93	271	185
137	279	89	253	0	195	221	144	210	249	276	206	206	76	227	88	60	59	52	148	107	251	256	163	252	228	122	160	21	137
238	125	210	176	195	0	81	153	183	164	115	119	119	131	79	137	151	211	183	99	88	70	159	59	59	229	119	131	216	238
299	196	262	256	221	81	0	119	262	245	184	199	199	178	156	192	164	255	191	78	129	51	239	61	109	307	184	206	240	299
265	276	218	301	144	153	119	0	282	292	267	241	241	146	225	167	88	197	96	53	115	168	292	94	207	319	182	220	155	265
128	144	144	58	210	183	262	282	0	63	151	69	69	148	128	128	218	171	242	242	168	249	76	216	196	48	101	62	226	128
188	88	197	12	249	164	245	292	63	0	97	51	51	178	91	162	244	221	272	245	181	220	14	211	158	101	128	89	268	188
260	13	253	109	276	115	184	267	151	97	0	90	90	200	48	194	248	267	280	214	178	145	85	174	78	196	160	139	297	260
170	87	167	60	206	119	199	241	69	51	90	0	0	132	59	119	195	186	224	194	130	181	53	161	127	117	84	52	226	170
170	87	167	60	206	119	199	241	69	51	90	0	0	132	59	119	195	186	224	194	130	181	53	161	127	117	84	52	226	170
124	203	85	183	76	131	178	146	148	178	200	132	132	0	152	22	71	80	95	122	49	196	183	117	184	177	49	90	97	124
221	54	209	104	227	79	156	225	128	91	48	59	59	152	0	147	200	222	232	172	130	129	84	134	68	176	115	99	248	221
107	196	72	166	88	137	192	167	128	162	194	119	119	22	147	0	92	76	114	141	65	205	169	132	186	155	35	73	107	107
179	254	132	250	60	151	164	88	218	244	248	195	195	71	200	92	0	110	32	89	70	199	247	109	210	247	118	159	76	179
78	268	32	222	59	211	255	197	171	221	267	186	186	80	222	76	110	0	111	190	127	275	230	193	261	180	107	135	65	78
186	286	138	277	52	183	191	96	242	272	280	224	224	95	232	114	32	111	0	113	102	228	276	138	243	267	144	185	59	186
246	223	204	254	148	99	78	53	242	245	214	194	194	122	172	141	89	190	113	0	79	121	244	40	154	282	147	180	165	246
172	184	134	189	107	88	129	115	168	181	178	130	130	49	130	65	70	127	102	79	0	148	183	68	145	205	69	105	128	172
307	158	277	232	251	70	51	168	249	220	145	181	181	196	129	205	199	275	228	121	148	0	212	90	67	296	189	200	271	307
201	75	208	24	256	159	239	292	76	14	85	53	53	183	84	169	247	230	276	244	183	212	0	209	149	115	134	97	275	201
239	184	202	221	163	59	61	94	216	211	174	161	161	117	134	132	109	193	138	40	68	90	209	0	114	259	128	156	182	239
277	91	256	171	252	59	109	207	196	158	78	127	127	184	68	186	210	261	243	154	145	67	149	114	0	244	160	158	273	277
118	188	149	92	228	229	307	319	48	101	196	117	117	177	176	155	247	180	267	282	205	296	115	259	244	0	136	103	241	118
119	162	96	133	122	119	184	182	101	128	160	84	84	49	115	35	118	107	144	147	69	189	134	128	160	136	0	41	142	119
122	137	115	93	160	131	206	220	62	89	139	52	52	90	99	73	159	135	185	180	105	200	97	156	158	103	41	0	179	122
143	300	97	271	21	216	240	155	226	268	297	226	226	97	248	107	76	65	59	165	128	271	275	182	273	241	142	179	0	143
0	257	49	185	137	238	299	265	128	188	260	170	170	124	221	107	179	78	186	246	172	307	201	239	277	118	119	122	143	0
