0	257	49	185	238	179	170	170	124	221	107	78	277	118	119	122	143	281	206	0
257	0	252	99	125	254	87	87	203	54	196	268	91	188	162	137	300	176	50	257
49	254	0	197	210	132	167	167	85	209	72	32	256	149	96	115	97	246	203	49
185	99	199	0	176	250	60	60	183	104	166	222	171	92	133	93	271	234	64	185
238	125	210	176	0	151	119	119	131	79	137	211	59	229	119	131	216	59	116	238
179	254	132	250	151	0	195	195	71	200	92	110	210	247	118	159	76	156	219	179
170	87	167	60	119	195	0	0	132	59	119	186	127	117	84	52	226	177	36	170
170	87	167	60	119	195	0	0	132	59	119	186	127	117	84	52	226	177	36	170
124	203	85	183	131	71	132	132	0	152	22	80	184	177	49	90	97	162	161	124
221	54	209	104	79	200	59	59	152	0	147	222	68	176	115	99	248	135	40	221
107	196	72	166	137	92	119	119	22	147	0	76	186	155	35	73	107	175	151	107
78	268	32	222	211	110	186	186	80	222	76	0	261	180	107	135	65	240	221	78
277	91	256	171	59	210	127	127	184	68	186	261	0	244	160	158	273	91	106	277
118	188	149	92	229	247	117	117	177	176	155	180	244	0	136	103	241	286	143	118
119	162	96	133	119	118	84	84	49	115	35	107	160	136	0	41	142	165	116	119
122	137	115	93	131	159	52	52	90	99	73	135	158	103	41	0	179	185	88	122
143	300	97	271	216	76	226	226	97	248	107	65	273	241	142	179	0	230	257	143
281	176	246	234	59	156	177	177	162	135	175	240	91	286	165	185	230	0	174	281
206	50	203	64	116	219	36	36	161	40	151	221	106	143	116	88	257	174	0	206
0	257	49	185	238	179	170	170	124	221	107	78	277	118	119	122	143	281	206	0
