0	159	149	157	157	175	178	138	137	40	257	135	127	0
159	0	55	99	99	197	77	206	238	120	214	148	200	159
149	56	0	145	145	234	130	231	256	109	265	182	224	149
157	99	145	0	0	103	38	128	170	134	121	62	127	157
157	99	145	0	0	103	38	128	170	134	121	62	127	157
175	197	234	103	103	0	139	56	101	176	100	52	64	175
178	77	130	38	38	139	0	166	207	149	138	100	164	178
138	206	231	128	128	56	166	0	46	151	156	66	11	138
137	238	256	170	170	101	207	46	0	161	200	109	44	137
40	120	109	134	134	176	149	151	161	0	246	129	140	40
257	214	265	121	121	100	138	156	200	246	0	122	164	257
135	148	182	62	62	52	100	66	109	129	122	0	65	135
127	200	224	127	127	64	164	11	44	140	164	65	0	127
0	159	149	157	157	175	178	138	137	40	257	135	127	0
