0	95	218	158	158	81	72	48	149	86	161	233	61	0
95	0	123	139	139	18	88	89	139	9	69	141	112	95
218	124	0	199	199	138	195	205	208	132	65	51	226	218
158	139	199	0	0	127	86	111	15	138	185	176	108	158
158	139	199	0	0	127	86	111	15	138	185	176	108	158
81	18	138	127	127	0	70	71	126	12	87	153	94	81
72	88	195	86	86	70	0	25	78	81	154	195	33	72
48	89	205	111	111	71	25	0	101	81	158	210	24	48
149	139	208	15	15	126	78	101	0	137	190	188	96	149
86	9	132	138	138	12	81	81	137	0	78	150	104	86
161	69	65	185	185	87	154	158	190	78	0	103	181	161
233	141	51	176	176	153	195	210	188	150	103	0	227	233
61	112	226	108	108	94	33	24	96	104	181	227	0	61
0	95	218	158	158	81	72	48	149	86	161	233	61	0
