0	191	178	167	229	120	189	210	214	166	122	212	165	49	308	0
191	0	66	220	239	209	119	236	92	247	70	139	286	144	257	191
178	68	0	256	287	234	174	281	156	278	82	198	307	130	318	178
167	220	258	0	66	49	120	45	166	35	174	123	90	172	161	167
229	239	287	66	0	115	122	22	163	89	210	110	142	227	98	229
120	209	234	49	115	0	134	95	176	48	152	145	77	132	206	120
189	119	174	120	122	134	0	123	45	154	110	26	205	161	146	189
210	236	281	45	22	95	123	0	167	67	201	116	121	212	120	210
214	92	156	166	163	176	45	167	0	199	111	53	249	178	165	214
166	247	278	35	89	48	154	67	199	0	196	157	56	181	187	166
122	70	82	174	210	152	110	201	111	196	0	136	227	77	255	122
212	139	198	123	110	145	26	116	53	157	136	0	211	187	121	212
165	286	307	90	142	77	205	121	249	56	227	211	0	193	240	165
49	144	130	172	227	132	161	212	178	181	77	187	193	0	295	49
308	257	318	161	98	206	146	120	165	187	255	121	240	295	0	308
0	191	178	167	229	120	189	210	214	166	122	212	165	49	308	0
