0	114	262	289	104	269	190	97	58	86	87	49	179	103	193	280	73	141	283	0
114	0	148	199	55	162	167	22	107	105	33	85	167	11	83	170	134	44	180	114
262	150	0	150	178	68	239	166	246	234	177	228	250	159	78	62	271	133	90	262
289	199	152	0	185	219	157	203	245	219	231	241	175	206	190	93	258	156	241	289
104	55	178	185	0	207	116	37	70	57	67	58	114	51	129	182	93	46	227	104
269	162	68	219	207	0	290	184	268	263	182	246	298	172	79	130	296	165	23	269
190	167	239	157	116	290	0	153	133	103	182	144	18	165	222	211	130	134	312	190
97	22	166	203	37	184	153	0	85	84	32	63	151	14	105	183	112	47	202	97
58	107	246	245	70	268	133	85	0	30	95	25	122	97	190	252	28	115	286	58
86	105	234	219	57	263	103	84	30	0	103	44	93	97	185	233	40	102	283	86
87	33	177	231	67	182	182	32	95	103	0	70	180	25	106	203	123	75	198	87
49	85	228	241	58	246	144	63	25	44	70	0	136	74	168	239	53	100	264	49
179	167	250	175	114	298	18	151	122	93	180	136	0	164	228	225	116	138	320	179
103	11	159	206	51	172	165	14	97	97	25	74	164	0	94	180	125	50	189	103
193	83	78	190	129	79	222	105	190	185	106	168	228	94	0	124	217	91	98	193
280	170	62	93	182	130	211	183	252	233	203	239	225	180	124	0	273	139	151	280
73	134	271	258	93	296	130	112	28	40	123	53	116	125	217	273	0	139	314	73
141	44	133	156	46	165	134	47	115	102	75	100	138	50	91	139	139	0	187	141
283	180	90	241	227	23	312	202	286	283	198	264	320	189	98	151	314	187	0	283
0	114	262	289	104	269	190	97	58	86	87	49	179	103	193	280	73	141	283	0
