0	95	218	241	158	81	72	48	149	86	161	233	61	0
95	0	123	166	139	18	88	89	139	9	69	141	112	95
218	124	0	125	199	138	195	205	208	132	65	51	226	218
241	166	126	0	131	169	183	204	146	172	158	78	215	241
158	139	199	131	0	127	86	111	15	138	185	176	108	158
81	18	138	169	127	0	70	71	126	12	87	153	94	81
72	88	195	183	86	70	0	25	78	81	154	195	33	72
48	89	205	204	111	71	25	0	101	81	158	210	24	48
149	139	208	146	15	126	78	101	0	137	190	188	96	149
86	9	132	172	138	12	81	81	137	0	78	150	104	86
161	69	65	158	185	87	154	158	190	78	0	103	181	161
233	141	51	78	176	153	195	210	188	150	103	0	227	233
61	112	226	215	108	94	33	24	96	104	181	227	0	61
0	95	218	241	158	81	72	48	149	86	161	233	61	0
