0	148	81	104	174	205	222	135	118	225	121	245	136	0
148	0	72	117	83	223	145	33	202	181	54	106	19	148
81	73	0	102	98	183	154	72	137	171	70	164	57	81
104	117	103	0	187	282	249	86	215	272	63	222	120	104
174	83	98	187	0	156	63	113	173	100	131	90	71	174
205	223	183	282	156	0	132	242	106	87	250	238	204	205
222	145	154	249	63	132	0	176	188	51	194	112	134	222
135	33	72	86	113	242	176	0	208	209	23	136	43	135
118	202	137	215	173	106	188	208	0	165	205	263	184	118
225	181	171	272	100	87	51	209	165	0	223	163	166	225
121	54	70	63	131	250	194	23	205	223	0	159	60	121
245	106	164	222	90	238	112	136	263	163	159	0	111	245
136	19	57	120	71	204	134	43	184	166	60	111	0	136
0	148	81	104	174	205	222	135	118	225	121	245	136	0
