0	114	262	289	190	97	86	58	179	103	193	280	73	0
114	0	148	199	167	22	105	107	167	11	83	170	134	114
262	150	0	150	239	166	234	246	250	159	78	62	271	262
289	199	152	0	157	203	219	245	175	206	190	93	258	289
190	167	239	157	0	153	103	133	18	165	222	211	130	190
97	22	166	203	153	0	84	85	151	14	105	183	112	97
86	105	234	219	103	84	0	30	93	97	185	233	40	86
58	107	246	245	133	85	30	0	122	97	190	252	28	58
179	167	250	175	18	151	93	122	0	164	228	225	116	179
103	11	159	206	165	14	97	97	164	0	94	180	125	103
193	83	78	190	222	105	185	190	228	94	0	124	217	193
280	170	62	93	211	183	233	252	225	180	124	0	273	280
73	134	271	258	130	112	40	28	116	125	217	273	0	73
0	114	262	289	190	97	86	58	179	103	193	280	73	0
