0	114	262	289	104	269	188	168	278	69	190	190	97	58	86	87	49	107	203	91	179	103	193	280	73	0
114	0	148	199	55	162	111	58	186	135	167	167	22	107	105	33	85	83	130	124	167	11	83	170	134	114
262	150	0	150	178	68	148	100	140	273	239	239	166	246	234	177	228	197	159	250	250	159	78	62	271	262
289	199	152	0	185	219	102	147	13	262	157	157	203	245	219	231	241	279	90	323	175	206	190	93	258	289
104	55	178	185	0	207	84	78	173	95	116	116	37	70	57	67	58	125	101	152	114	51	129	182	93	104
269	162	68	219	207	0	201	134	208	296	290	290	184	268	263	182	246	182	215	234	298	172	79	130	296	269
188	111	148	102	84	201	0	77	91	162	91	91	108	144	119	139	140	193	20	230	103	115	140	125	158	188
168	58	100	147	78	134	77	0	134	173	158	158	71	147	135	91	130	133	96	180	165	68	64	113	171	168
278	186	140	13	173	208	91	134	0	252	152	152	191	235	209	219	230	267	80	310	169	194	178	85	248	278
69	135	273	262	95	296	162	173	252	0	135	135	113	28	43	122	52	163	172	158	121	125	217	276	5	69
190	167	239	157	116	290	91	158	152	135	0	0	153	133	103	182	144	240	83	261	18	165	222	211	130	190
190	167	239	157	116	290	91	158	152	135	0	0	153	133	103	182	144	240	83	261	18	165	222	211	130	190
97	22	166	203	37	184	108	71	191	113	153	153	0	85	84	32	63	89	127	122	151	14	105	183	112	97
58	107	246	245	70	268	144	147	235	28	133	133	85	0	30	95	25	139	156	140	122	97	190	252	28	58
86	105	234	219	57	263	119	135	209	43	103	103	84	30	0	103	44	154	130	164	93	97	185	233	40	86
87	33	177	231	67	182	139	91	219	122	182	182	32	95	103	0	70	58	158	92	180	25	106	203	123	87
49	85	228	241	58	246	140	130	230	52	144	144	63	25	44	70	0	114	155	120	136	74	168	239	53	49
107	83	197	279	125	182	193	133	267	163	240	240	89	139	154	58	114	0	213	53	237	79	120	236	165	107
203	130	159	90	101	215	20	96	80	172	83	83	127	156	130	158	155	213	0	249	98	134	157	128	168	203
91	124	250	323	152	234	230	180	310	158	261	261	122	140	164	92	120	53	249	0	254	117	172	287	162	91
179	167	250	175	114	298	103	165	169	121	18	18	151	122	93	180	136	237	98	254	0	164	228	225	116	179
103	11	159	206	51	172	115	68	194	125	165	165	14	97	97	25	74	79	134	117	164	0	94	180	125	103
193	83	78	190	129	79	140	64	178	217	222	222	105	190	185	106	168	120	157	172	228	94	0	124	217	193
280	170	62	93	182	130	125	113	85	276	211	211	183	252	233	203	239	236	128	287	225	180	124	0	273	280
73	134	271	258	93	296	158	171	248	5	130	130	112	28	40	123	53	165	168	162	116	125	217	273	0	73
0	114	262	289	104	269	188	168	278	69	190	190	97	58	86	87	49	107	203	91	179	103	193	280	73	0
