0	159	149	139	191	100	88	94	91	194	157	157	175	178	138	102	177	116	124	167	137	40	257	135	127	0
159	0	55	183	199	175	133	69	81	194	99	99	197	77	206	58	116	231	35	32	238	120	214	148	200	159
149	55	0	213	240	195	155	84	100	236	145	145	234	130	231	68	165	244	50	32	256	109	265	182	224	149
139	183	213	0	55	41	62	130	114	62	100	100	38	138	29	145	102	86	165	210	75	144	134	38	32	139
191	199	240	55	0	96	106	162	147	10	102	102	18	136	74	175	92	135	190	229	118	189	82	61	83	191
100	175	195	41	96	0	41	112	96	102	112	112	79	147	40	127	121	62	150	197	64	110	172	57	30	100
88	133	155	62	106	41	0	71	56	108	81	81	93	113	76	87	96	100	109	156	105	83	169	48	69	88
94	69	84	130	162	112	71	0	16	160	83	83	154	91	148	15	105	164	39	87	174	59	203	102	140	94
91	81	100	114	147	96	56	16	0	145	74	74	138	88	132	31	96	151	53	101	159	61	191	86	124	91
194	194	236	62	10	102	108	160	145	0	96	96	27	129	83	173	85	144	187	225	128	191	73	61	91	194
157	99	145	100	102	112	81	83	74	96	0	0	103	38	128	91	22	173	98	130	170	134	121	62	127	157
157	99	145	100	102	112	81	83	74	96	0	0	103	38	128	91	22	173	98	130	170	134	121	62	127	157
175	197	234	38	18	79	93	154	138	27	103	103	0	139	56	168	97	117	185	226	101	176	100	52	64	175
178	77	130	138	136	147	113	91	88	129	38	38	139	0	166	93	44	209	89	108	207	149	138	100	164	178
138	206	231	29	74	40	76	148	132	83	128	128	56	166	0	163	131	61	185	231	46	151	156	66	11	138
102	58	68	145	175	127	87	15	31	173	91	91	168	93	163	0	113	179	25	72	189	64	212	116	155	102
177	116	165	102	92	121	96	105	96	85	22	22	97	44	131	113	0	182	118	148	176	156	100	67	132	177
116	231	244	86	135	62	100	164	151	144	173	173	117	209	61	179	182	0	203	251	25	144	217	115	54	116
124	35	50	165	190	150	109	39	53	187	98	98	185	89	185	25	118	203	0	48	213	85	219	133	178	124
167	32	32	210	229	197	156	87	101	225	130	130	226	108	231	72	148	251	48	0	260	126	246	176	225	167
137	238	256	75	118	64	105	174	159	128	170	170	101	207	46	189	176	25	213	260	0	161	200	109	44	137
40	120	109	144	189	110	83	59	61	191	134	134	176	149	151	64	156	144	85	126	161	0	246	129	140	40
257	214	265	134	82	172	169	203	191	73	121	121	100	138	156	212	100	217	219	246	200	246	0	122	164	257
135	148	182	38	61	57	48	102	86	61	62	62	52	100	66	116	67	115	133	176	109	129	122	0	65	135
127	200	224	32	83	30	69	140	124	91	127	127	64	164	11	155	132	54	178	225	44	140	164	65	0	127
0	159	149	139	191	100	88	94	91	194	157	157	175	178	138	102	177	116	124	167	137	40	257	135	127	0
