0	191	178	189	189	210	214	166	165	49	308	162	152	50	126	0
191	0	66	119	119	236	92	247	286	144	257	177	240	149	112	191
178	68	0	174	174	281	156	278	307	130	318	219	268	129	146	178
189	119	174	0	0	123	45	154	205	161	146	75	152	173	63	189
189	119	174	0	0	123	45	154	205	161	146	75	152	173	63	189
210	236	281	123	123	0	167	67	121	212	120	62	77	224	135	210
214	92	156	45	45	167	0	199	249	178	165	120	197	188	91	214
166	247	278	154	154	67	199	0	56	181	187	79	14	192	135	166
165	286	307	205	205	121	249	56	0	193	240	131	53	203	175	165
49	144	130	161	161	212	178	181	193	0	295	155	168	13	99	49
308	257	318	146	146	120	165	187	240	295	0	147	196	307	198	308
162	177	219	75	75	62	120	79	131	155	147	0	78	168	73	162
152	240	268	152	152	77	197	14	53	168	196	78	0	180	128	152
50	149	129	173	173	224	188	192	203	13	307	168	180	0	111	50
126	112	146	63	63	135	91	135	175	99	198	73	128	111	0	126
0	191	178	189	189	210	214	166	165	49	308	162	152	50	126	0
